103.115.4.2,2053,MM,Information Beam Company Limited
104.152.187.165,443,US,Centrilogic Inc
185.103.109.139,443,RU,FIRST SERVER LIMITED
185.103.110.87,443,FI,Creanova
104.234.50.161,2053,US,Private Customer
104.234.50.59,2053,US,Private Customer
107.189.12.152,443,LU,FranTech Solutions
77.73.131.105,8443,DE,Aeza International LTD
77.73.131.168,8443,DE,Aeza International LTD
109.107.174.65,8443,NL,Amsterdam Netherlands
109.107.174.65,2053,NL,Amsterdam Netherlands
109.107.172.27,2053,NL,Amsterdam Netherlands
109.107.172.27,8443,NL,Amsterdam Netherlands
77.91.70.19,2053,FI,Aeza International LTD
77.91.70.19,8443,FI,Aeza International LTD
77.91.72.17,2053,HU,WorkTitans BV
77.91.72.17,8443,HU,WorkTitans BV
38.180.99.187,2053,NL,3NT SOLUTIONS LLP
38.180.99.187,8443,NL,3NT SOLUTIONS LLP
185.174.137.106,2053,FI,Aeza International LTD
185.174.137.106,8443,FI,Aeza International LTD
78.153.130.196,8443,DE,Aeza International LTD
78.153.130.196,2053,DE,Aeza International LTD
185.206.93.129,4343,IR,AbrArvan IaaS
79.137.199.164,8445,DE,Aeza International LTD
79.137.199.164,8443,DE,Aeza International LTD
79.137.204.43,2053,DE,AEZA GROUP Ltd
185.221.219.7,443,NL,Global Managed Hosting Inc
112.158.77.21,50034,KR,LG POWERCOMM
112.164.36.120,50001,KR,Korea Telecom
111.20.226.42,18908,CN,China Mobile Communications Corporation
8.219.77.72,5027,SG,Alibaba Cloud Singapore Private Limited
45.112.195.101,2053,FR,Jules DurandArnaudet
80.253.255.51,443,TR,TEKNOSOS BILISIM HIZMETLERI VE TIC LTD STI
45.12.146.71,8443,FI,WorkTitans BV
45.12.146.71,2053,FI,WorkTitans BV
223.240.70.8,10011,CN,CHINANET Anhui province network
115.40.28.225,35342,KR,LG HelloVision Corp
115.94.122.118,50001,KR,LG DACOM Corporation
185.237.98.147,10043,GB,OMC COMPUTERS  COMMUNICATIONS LTD
81.22.132.215,44085,NL,Internet Utilities Europe and Asia Limited
81.22.132.215,18247,NL,Internet Utilities Europe and Asia Limited
81.22.132.215,38995,NL,Internet Utilities Europe and Asia Limited
81.19.139.25,2053,FI,GLOBAL CONNECTIVITY SOLUTIONS LLP
81.19.139.25,8443,FI,GLOBAL CONNECTIVITY SOLUTIONS LLP
115.40.206.235,50001,KR,LG HelloVision Corp
82.117.227.38,16403,DE,GCore Labs Customer assignment
82.117.245.71,2053,DE,Witine Limited
185.242.84.158,2053,GR,WorkTitans BV
185.242.84.158,8443,GR,WorkTitans BV
117.94.39.135,11443,CN,CHINANET jiangsu province network
116.47.10.236,10912,KR,LG POWERCOMM
116.47.10.236,11102,KR,LG POWERCOMM
116.47.10.236,12495,KR,LG POWERCOMM
116.47.10.236,20500,KR,LG POWERCOMM
116.47.10.236,10332,KR,LG POWERCOMM
116.47.10.236,12235,KR,LG POWERCOMM
117.94.39.135,14443,CN,CHINANET jiangsu province network
116.47.10.236,16043,KR,LG POWERCOMM
116.47.10.236,12561,KR,LG POWERCOMM
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
116.47.10.236,21302,KR,LG POWERCOMM
116.47.10.236,10095,KR,LG POWERCOMM
117.94.39.135,14443,CN,CHINANET jiangsu province network
116.47.10.236,12149,KR,LG POWERCOMM
117.94.39.135,14443,CN,CHINANET jiangsu province network
116.47.10.236,21308,KR,LG POWERCOMM
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,14443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
117.94.39.135,11443,CN,CHINANET jiangsu province network
82.166.137.24,443,IL,ADSLVIP
45.138.27.90,443,US,ITGLOBALCOM NL BV
119.63.254.24,26214,KR,LG HelloVision Corp
45.144.48.161,2053,PL,Newserverlife LLC
188.116.21.222,2053,NL,IROKO Networks Corporation
188.116.21.222,8443,NL,IROKO Networks Corporation
89.58.13.151,1010,DE,netcup GmbH
185.93.88.101,2053,IR,Web Dadeh Paydar Co Ltd
121.162.96.66,50000,KR,Korea Telecom
45.149.63.147,2053,PL,NET 45 149 63 0 24
121.175.234.96,50001,KR,Korea Telecom
121.191.143.11,50000,KR,Korea Telecom
121.180.79.228,10084,KR,Korea Telecom
121.180.79.228,10011,KR,Korea Telecom
121.180.79.228,35101,KR,Korea Telecom
85.203.42.50,11443,NL,RoyaleHosting BV
89.58.13.151,1010,DE,netcup GmbH
85.239.151.167,443,DE,MyAcct LTD
89.58.13.151,1010,DE,netcup GmbH
86.38.156.96,2053,DE,null
87.107.54.78,4343,IR,ParsShabakehAzarakhsh
45.76.179.81,443,SG,Vultr Holdings LLC
89.110.101.57,8443,NL,Amsterdam Netherlands
89.110.125.232,2053,NL,Amsterdam Netherlands
192.210.255.57,2053,NL,HostPapa
192.210.255.57,8443,NL,HostPapa
138.124.14.217,8443,RU,Aeza International LTD
138.124.14.236,2053,RU,Aeza International LTD
138.124.14.236,8443,RU,Aeza International LTD
138.124.14.217,2053,RU,Aeza International LTD
89.208.113.19,443,DE,Aeza International LTD
89.213.239.16,8080,HK,AKILE LTD
89.22.224.53,2053,SE,Aeza International LTD
89.22.236.35,2053,SE,Aeza International LTD
89.22.236.35,8443,SE,Aeza International LTD
193.233.133.95,2053,DE,Aeza International LTD
193.222.99.215,2053,DE,play2gocloud  Cheap and reliable hosting
193.233.133.95,8443,DE,Aeza International LTD
193.233.233.219,2053,DE,Aeza International LTD
14.34.25.156,50003,KR,Korea Telecom
46.8.236.236,443,FI,CGI GLOBAL LIMITED
141.11.91.67,8080,HK,Tusker Technologies Pty Ltd
141.11.149.195,12082,HK,AKILE LTD
141.11.77.248,8080,HK,AKILE LTD
141.11.78.77,8080,HK,AKILE LTD
141.11.148.60,8080,HK,AKILE LTD
142.171.80.234,11920,US,MULTACOM CORPORATION
142.93.109.255,443,DE,DigitalOcean LLC
194.113.37.221,8443,US,HOST TELECOM LTD
194.113.37.242,8443,US,HOST TELECOM LTD
91.107.179.47,443,DE,Hetzner Online GmbH
194.113.37.221,2053,US,HOST TELECOM LTD
159.223.142.20,2053,US,DigitalOcean LLC
167.172.186.130,2053,DE,DigitalOcean LLC
167.172.186.130,8443,DE,DigitalOcean LLC
194.164.32.99,8443,NL,Amsterdam Netherlands
194.164.32.99,2053,NL,Amsterdam Netherlands
49.142.138.159,12082,KR,HYUNDAI COMMUNICATIONS   NETWORK
49.169.160.43,50001,KR,LG POWERCOMM
49.169.160.43,50000,KR,LG POWERCOMM
147.45.41.12,2053,DE,Aeza International LTD
147.45.41.12,8443,DE,Aeza International LTD
147.45.40.109,8443,DE,Aeza International LTD
147.45.40.109,2053,DE,Aeza International LTD
91.186.218.65,8443,SE,Aeza International LTD
91.186.218.65,2053,SE,Aeza International LTD
91.199.32.152,8443,GB,HR SYSHEAD
91.199.32.152,2053,GB,HR SYSHEAD
147.45.49.164,24443,JP,GLOBAL CONNECTIVITY SOLUTIONS LLP
147.45.43.24,8443,DE,Aeza International LTD
5.144.182.156,2053,GB,ahbr company limited
147.45.43.24,2053,DE,Aeza International LTD
5.160.52.32,30003,IR,Respina
5.178.106.18,2053,DE,ahbr company limited
194.76.173.183,2053,DE,IPXO
5.178.106.91,2053,DE,ahbr company limited
91.92.206.174,27784,IR,Telecommunication Company of Tehran
91.92.206.174,465,IR,Telecommunication Company of Tehran
91.92.187.73,20880,IR,Telecommunication Company of Tehran
195.135.252.246,443,LV,SIA VEESP
93.183.124.61,2053,NL,Amsterdam Netherlands
93.183.124.61,8443,NL,Amsterdam Netherlands
94.182.209.5,30000,IR,SHTLNETDED
152.70.155.147,443,US,Oracle Corporation
2.57.242.75,2053,FR,RCS Technologies FZE LLC
95.182.96.14,2053,FR,CGI GLOBAL LIMITED
95.182.96.14,8443,FR,CGI GLOBAL LIMITED
159.223.142.20,8443,US,DigitalOcean LLC
159.100.9.253,8443,DE,firstcolo GmbH
159.100.9.253,2053,DE,firstcolo GmbH
51.75.149.44,2053,DE,Ltd Closco
209.141.35.26,37020,US,BuyVM Services
207.174.30.58,443,NL,IPFB LLC
95.217.220.228,8443,FI,Hetzner Online GmbH
164.92.175.133,8443,DE,DigitalOcean LLC
164.92.175.133,2053,DE,DigitalOcean LLC
165.22.193.7,2083,NL,DigitalOcean LLC
59.1.137.85,50000,KR,Korea Telecom
167.172.186.130,8443,DE,DigitalOcean LLC
59.12.109.110,50000,KR,Korea Telecom
167.172.186.130,2053,DE,DigitalOcean LLC
212.34.128.155,8443,NL,Amsterdam Netherlands
212.34.128.155,2053,NL,Amsterdam Netherlands
59.24.250.70,50000,KR,Korea Telecom
167.235.69.166,443,DE,Hetzner Online GmbH
212.34.148.249,8443,NL,Amsterdam Netherlands
62.141.35.219,2053,DE,WIIT AG
62.141.35.219,8443,DE,WIIT AG
212.80.7.10,2053,DE,play2gocloud  Cheap and reliable hosting
171.22.124.205,2053,NL,WorkTitans BV
213.108.21.242,2053,DE,Aeza International LTD
213.108.21.242,8443,DE,Aeza International LTD
172.245.64.141,443,US,RackNerd LLC
62.60.246.1,2053,DE,Aeza International LTD
213.176.67.111,8443,DE,Aeza International LTD
213.176.67.111,2053,DE,Aeza International LTD
213.176.67.187,8443,DE,Aeza International LTD
213.176.67.219,8443,DE,Aeza International LTD
213.176.67.217,8443,DE,Aeza International LTD
213.176.67.217,2053,DE,Aeza International LTD
213.176.67.187,2053,DE,Aeza International LTD
213.176.67.219,2053,DE,Aeza International LTD
175.212.101.134,50001,KR,Korea Telecom
176.124.199.38,8443,DE,Aeza International LTD
176.124.199.38,2053,DE,Aeza International LTD
176.124.206.214,2053,FI,Aeza International LTD
176.124.32.95,443,EE,BlueVPS OU
176.124.32.87,8443,EE,BlueVPS OU
176.124.32.137,443,EE,BlueVPS OU
176.124.32.137,8443,EE,BlueVPS OU
156.254.114.171,443,HK,Cloud Innovation Ltd
217.144.185.25,8443,DE,Aeza International LTD
195.54.171.205,443,HK,IROKO Networks Corporation
217.79.184.101,2053,DE,fast IT GmbH
217.79.184.101,8443,DE,fast IT GmbH
218.147.160.41,50000,KR,Korea Telecom
220.79.185.100,12248,KR,Korea Telecom
220.77.58.170,50000,KR,Korea Telecom
23.88.97.94,8443,DE,Hetzner Online GmbH
222.113.74.67,50000,KR,Korea Telecom
23.88.97.94,2053,DE,Hetzner Online GmbH
222.113.74.67,50001,KR,Korea Telecom
23.137.248.122,8443,NL,IncogNET LLC
23.137.248.122,2053,NL,IncogNET LLC
27.117.253.14,50001,KR,SK Broadband Co Ltd
